,Name,Image,Description,Personality Traits
0,1.  Aamir Khan ,"https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX140_CR0,0,140,209_AL_.jpg",    Aamir is no doubt one of the most dedicated actors in this world. With his recent success in India and China markets combined he has got the title of World's Biggest Superstar. He went through rapid transformations in his body structure for his films to bring out the reality factor in his ...                ,['dedicated']
1,2.  Akshay Kumar ,"https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY209_CR13,0,140,209_AL_.jpg","    Akshay Kumar, born September 9, 1967, is an actor. He studied martial arts in Hong Kong. It was a student that suggested that he try modeling. Because of his success as model, he was offered films. Along with his good looks and excellent martial art skills, he was always the first choice to do ...                ","['actor', 'good looks']"
2,3.  Ajay Devgn ,"https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY209_CR6,0,140,209_AL_.jpg","    Ajay Devgn is an Indian film actor, director, and producer. He made his film debut with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance in the film. He then starred in films such as Jigar (1992), Dilwale (1994), Suhaag (1994), Naajayaz (1995), Diljale ...                ","['actor', 'director', 'producer']"
3,4.  Amjad Khan ,"https://m.media-amazon.com/images/M/MV5BOWUzNjU3YTUtOGIyMi00MDk3LTk1NDMtMzY4MDZlNDFhNTFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR73,0,140,209_AL_.jpg","    Amjad Khan was born on November 12, 1940 in Hyderabad, Hyderabad State, British India. He was an actor and director, known for Sholay (1975), Inseparable Friends (1981) and Maa Kasam (1985). He was married to Shaila Khan. He died on July 27, 1992 in Bombay, Maharashtra, India.                ","['actor', 'director', 'married']"
4,5.  Amitabh Bachchan ,"https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY209_CR6,0,140,209_AL_.jpg","    Son of well known poet Harivansh Rai Bachchan and Teji Bachchan. He has a brother named Ajitabh. He completed his education from Uttar Pradesh and moved to Bombay to find work as a film star, in vain though, as film-makers preferred someone with a fairer skin, and he was not quite fair enough. But ...                ",[]
5,6.  Amol Palekar ,"https://m.media-amazon.com/images/M/MV5BNzZhNDQ1YzItNTVlOC00MmVmLTkzMjEtMDFmN2Q0MDU2YmQ3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR21,0,140,209_AL_.jpg","    Amol Palekar was born on November 24, 1944 in Bombay, Bombay Presidency, British India. He is an actor and director, known for Kairee (1999), The Village Had No Walls (1995) and Gol Maal (1979).                ","['actor', 'director']"
6,7.  Abhay Deol ,"https://m.media-amazon.com/images/M/MV5BMTU2NzkzODA3OV5BMl5BanBnXkFtZTcwMzk2MDMyOA@@._V1_UX140_CR0,0,140,209_AL_.jpg","    Abhay Deol (born in 1976, India) is an Indian film actor. He is the nephew of famous veteran actor Dharmendra and cousin of actors Sunny Deol and Bobby Deol and actress Esha Deol. After graduating from Mumbai University, Abhay headed to Los Angeles and studied Fine Arts. After completing a two year...                ","['actor', 'actress']"
7,8.  Akshaye Khanna ,"https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_UY209_CR87,0,140,209_AL_.jpg","    Akshaye Khanna was born in Mumbai in 1975. He is the middle son of Bollywood actor and politician Vinod Khanna, and the younger brother of actor Rahul Khanna.After studying in Kishore Namit Kapoor Acting Institute in Mumbai, Khanna made his acting debut in Bollywood in 1997 with the movie Himalay ...                ",['actor']
8,9.  Arshad Warsi ,"https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg","    Arshad Warsi was born in Mumbai, India, and did his schooling at a boarding school, Barnes School, Deolali in Nashik district, Maharashtra. He was orphaned at the age of 14 and struggled for a living in Mumbai during his early days.Financial circumstances forced Warsi to start work as a door-to-door...                ",[]
9,10.  Anushka Shetty ,"https://m.media-amazon.com/images/M/MV5BZTkxYmU1NmUtNGE4Ni00OWNmLWE5YzktNTJiZTlmMTIyMTM5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR1,0,140,209_AL_.jpg",    Anushka Shetty is an Indian Film Actress. She was also a Yoga Instructor and has trained under yoga guru Bharat Thakur.This tall and gorgeous beauty debuted in the 2005 Telugu film Super starring Nagarjuna which was super hit at box office. Later her performance in Vikramarkudu make her noticeable....                ,"['actress', 'yoga', 'tall', 'gorgeous', 'beauty']"
10,11.  Atul Kulkarni ,"https://m.media-amazon.com/images/M/MV5BY2E1ODI1MGUtYWY1ZS00ZDdlLTg0ZDctNWU1NmJhM2UxYzU5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg","    Atul Kulkarni was born on September 10, 1965 in Karnataka, India. He is an actor, known for Rang De Basanti (2006), Hey Ram (2000) and Page 3 (2005).                ",['actor']
11,12.  Asrani ,"https://m.media-amazon.com/images/M/MV5BMjEyNDQ4MzUzNF5BMl5BanBnXkFtZTgwNjY3OTczOTE@._V1_UX140_CR0,0,140,209_AL_.jpg",    Asrani was born in a middle class Sindhi family. His father migrated to Jaipur after the Partition of India and opened a shop selling carpets. He has four sisters and three brothers: two elder and one younger. Asrani was highly uninterested in business and very weak in mathematics. He completed his...                ,[]
12,13.  Ayushmann Khurrana ,"https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY209_CR87,0,140,209_AL_.jpg","    Ayushmann Khurrana was born on 14 September 1984 in Chandigarh, India. Ayushmann started off his career as a popular radio jockey, and eventually became a VJ on MTV India and one of the most popular hosts in India. He shot to stardom with the runaway hit, 'Vicky Donor' in 2012. His effortless act ...                ",['radio jockey']
