,Name,Image,Personality Traits
0,['A. K. Hangal'],['https://en.wikipedia.org//wiki/File:A_K_Hangal_at_14th_Hira_Manik_Awards.jpg'],"['actor', 'married', 'actor', 'producer', 'photographer', 'actor', 'actor', 'producer', 'actor']"
1,['Aadhi Pinisetty'],['https://en.wikipedia.org//wiki/File:Aadhi_Pinisetty_at_Maragatha_Naanayam_audio_launch.jpg'],"['actor', 'director', 'director', 'powerful']"
2,['Aadi (actor)'],[],"['actor', 'successful', 'married', 'actor']"
3,['Aamir Khan'],"['https://en.wikipedia.org//wiki/File:Aamir_Khan_From_The_NDTV_Greenathon_at_Yash_Raj_Studios_(11).jpg', 'https://en.wikipedia.org//wiki/File:AamirKhan.jpg', 'https://en.wikipedia.org//wiki/File:Aamir_Khan_at_Satyamev_Jayate_press_conference_13.jpg', 'https://en.wikipedia.org//wiki/File:Secretary_Clinton_and_Bollywood_Star_Aamir_Khan.jpg', 'https://en.wikipedia.org//wiki/File:Aamir_Khan_with_his_wife_Kiran_Rao_at_Karan_Johar%27s_40th_birthday_bash_at_Taj_Lands_End_(27).jpg']","['actor', 'director', 'host', 'actor', 'successful', 'actor', 'director', 'comedy', 'sensitive', 'married', 'director', 'producer', 'director', 'actor', 'married', 'actor', 'director', 'director', 'comedy', 'comedy', 'successful', 'comedy', 'actor', 'successful', 'successful', 'actor', 'actor', 'creative', 'director', 'actor', 'director', 'outstanding', 'director', 'comedy', 'actor', 'actor', 'yoga', 'actor', 'director', 'comedy', 'producer', 'actor', 'director', 'actor', 'director', 'comedy', 'actor', 'successful', 'actor', 'producer', 'host', 'host', 'sensitive', 'successful', 'creative', 'independent', 'actor', 'comedy', 'actor', 'writer', 'responsible', 'general', 'married', 'producer', 'married', 'director', 'actress', 'actor', 'director', 'producer', 'actor', 'actor']"
4,['Ashish Chaudhary'],['https://en.wikipedia.org//wiki/File:Ashish_choudhry.jpg'],"['actor', 'married']"
5,['Abbas (actor)'],[],"['actor', 'actor', 'modelling', 'director', 'successful', 'actor', 'successful', 'married']"
6,['Abhay Deol'],"['https://en.wikipedia.org//wiki/File:Abhay_Deol_at_Ficci_Frames.jpg', 'https://en.wikipedia.org//wiki/File:Abhay_Deol_still7.jpg']","['actor', 'producer', 'comedy', 'actor', 'successful', 'independent', 'actor', 'successful', 'comedy', 'actor', 'philanthropist', 'actor', 'comedy', 'actor', 'comedy', 'comedy', 'married', 'actor']"
7,['Abhijith'],['https://en.wikipedia.org//wiki/File:Abhijith_Actor.jpg'],"['actor', 'singer', 'producer', 'director', 'successful', 'host', 'singer']"
8,['Abhishek Bachchan'],"['https://en.wikipedia.org//wiki/File:Abhishek_Bachchan.jpg', 'https://en.wikipedia.org//wiki/File:Signature_of_Abhishek_Bachchan.svg', 'https://en.wikipedia.org//wiki/File:Bachchan_Parivar.jpg', 'https://en.wikipedia.org//wiki/File:Abhi_2013.jpg', 'https://en.wikipedia.org//wiki/File:Aishwarya_With_Abhishek.jpg']","['actor', 'producer', 'known for his work', 'actor', 'successful', 'comedy', 'married', 'actress', 'actress', 'writer', 'actor', 'actor', 'comedy', 'successful', 'actor', 'actor', 'successful', 'actor', 'comedy', 'actress', 'successful', 'actor', 'comedy', 'actor', 'producer', 'comedy', 'lazy', 'comedy', 'successful', 'successful', 'director', 'actor', 'actress', 'married', 'actor']"
9,['Abhishek Chatterjee'],"['https://en.wikipedia.org//wiki/File:BRKM_secondary_section_entrance.crop.jpg', 'https://en.wikipedia.org//wiki/File:P_vip.svg', 'https://en.wikipedia.org//wiki/File:Video-x-generic.svg', 'https://en.wikipedia.org//wiki/File:Flag_of_India.svg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'known for his work']"
10,['Ambareesh'],['https://en.wikipedia.org//wiki/File:M.H.Ambareesh.jpg'],"['actor', 'actor', 'successful', 'director', 'actor', 'actor', 'actor', 'general', 'general', 'actress', 'married', 'actor', 'actor']"
11,['Abhimanyu Singh'],['https://en.wikipedia.org//wiki/File:Abhimanyu_Singh_(Indian_Actor)_rgvzoomin.jpg'],['actor']
12,['Abijeet (actor)'],[],"['actor', 'beautiful', 'director', 'beautiful', 'beautiful']"
13,['Abir Chatterjee'],"['https://en.wikipedia.org//wiki/File:About_Chatterjee_2019.jpg', 'https://en.wikipedia.org//wiki/File:Picture_of_trio_from_the_motion_poster_launch_event_of_Durgeshgorer_Guptodhon.crop.jpg']","['actor', 'married', 'director']"
14,['Achyuth Kumar'],[],"['actor', 'actor', 'actor', 'actor']"
15,['Atharvaa'],['https://en.wikipedia.org//wiki/File:Atharvaa_at_Eetti_Success_Meet_.jpg'],"['actor', 'director', 'actor', 'actor', 'actress', 'actor', 'director', 'actress', 'actor']"
16,['Adhyayan Suman'],[],"['actor', 'singer', 'actor', 'sensitive']"
17,['Adil Hussain'],['https://en.wikipedia.org//wiki/File:Adil_Hussain_at_%27Life_of_Pi%27_press_meet.jpg'],"['actor', 'stand-up comedian', 'actor', 'director', 'director', 'comedy', 'independent', 'actor']"
18,['Aditya Babu'],['https://en.wikipedia.org//wiki/File:Filmreel-icon.svg'],"['producer', 'actor', 'actor']"
19,['Aditya Pancholi'],['https://en.wikipedia.org//wiki/File:Aditya_Pancholi.jpg'],"['actor', 'producer', 'singer', 'successful', 'married', 'actress', 'married', 'actor', 'comedy', 'actress', 'director', 'producer', 'director', 'comedy', 'actress', 'actress', 'married', 'actress']"
